objid,sample,asset_id,name,pgc,img_name,row_txt
587725039016870082,original,3791,LCRS B114551.8-0314,.......,3791,3509
587725039022768172,original,3897,MRK 1332,42618,3897,4470
587725039023620278,original,3921,J12500374-0332115,1069946,3921,4603
587725039554068710,original,4048,LCRS B114833.0-0257,115383,4048,3561
587725039559180510,original,4131,LCRS B123533.8-0258,116761,4131,4410
587725040092446735,original,4324,UGC 07065,38237,4324,3792
587725040093298792,original,4331,CGCG 013-103,38946,4331,3973
587725040099328093,original,4432,LCRS B130501.7-0233,.......,4432,4928
587725040100376718,original,4449,LCRS B131456.1-0229,117627,4449,5140
587725040635805875,original,4653,J13041708-0218578,1095478,4653,4862
587725040637772021,original,4676,J13223174-0222372,1093833,4676,5230
587725041164288228,original,4742,J11475121-0156062,1106057,4742,3498
587725041168810029,original,4806,NGC 4454,41083,4806,4303
587725041706139818,original,5020,J12330209-0132260,1116237,5020,4338
587725074454806843,original,5253,J09133402-0015095,135715,5253,973
587725074455527676,original,5260,J091940.95-002151.3,.......,5260,1071
587725074455593240,original,5261,J092034.63-002112.6,.......,5261,1078
587725075526779171,original,5481,J085700.83+003020.0,153298,5481,793
587725082501054876,original,5609,J09231802-0227222,1091496,5609,1094
587725082506625202,original,5707,LCSB S1389O,.......,5707,1752
587725082509246564,original,5769,LCRS B103521.7-0240,.......,5769,2143
587725083038122170,original,5811,J09243860-0207145,1101193,5811,1113
587725083039432803,original,5834,J09370169-0213004,1098404,5834,1292
587725083047100498,original,5990,LCRS B104416.3-0222,113806,5990,2299
587725083580170248,original,6090,J10115774-0157062,154854,6090,1714
587725083583381619,original,6160,J10413413-0205035,31847,6160,2173
587725084119728159,original,6311,J10365013-0138526,31489,6311,2120
587725084651094189,original,6354,CGCG 007-032,28082,6354,1375
587725468522381358,original,6490,KUG 0845+510,.......,6490,707
587725469052698697,original,6542,CGCG 206-038,22141,6542,149
587725469057286163,original,6599,MCG +08-16-006,23806,6599,487
587725469058990182,original,6614,J084546.09+504251.7,2380387,6614,649
587725469061021751,original,6651,J090639.95+535803.3,2455988,6651,898
587725469061742711,original,6661,J091525.93+550335.2,2489193,6661,1009
587725469062201480,original,6685,J092139.06+554311.2,2512044,6685,1080
587725469592780979,original,6777,J081529.58+453803.3,2268126,6777,341
587725469592846578,original,6781,J081622.21+454727.6,2270503,6781,351
587725469595009170,original,6815,MCG +08-16-015,24130,6815,556
587725470128406605,original,6944,CGCG 207-024,22663,6944,222
587725470129717308,original,6959,MCG +08-15-053,23092,6959,330
587725470130241650,original,6964,J081843.53+470257.1,2291483,6964,366
587725470130831374,original,6980,J082338.06+475627.0,2307344,6980,422
587725470135288004,original,7084,CGCG 264-065,25723,7084,925
587725470135550042,original,7089,J091141.31+554809.6,2514854,7089,959
587725470137843871,original,7107,J094235.68+590617.3,3136724,7107,1334
587725470666588239,original,7174,MCG +08-15-049,23015,7174,321
587725470666850580,original,7179,J081513.61+464313.3,2286019,7179,338
587725471200641298,original,7318,J075049.20+410851.0,2176440,7318,111
587725471203655965,original,7334,J081223.14+465609.2,2289638,7334,300
587725471206932670,original,7380,J084207.75+524004.3,2420638,7380,623
587725471207522358,original,7397,J084730.04+533836.3,.......,7397,668
587725471208767691,original,7438,J090225.30+553633.4,2508170,7438,856
587725472809091225,original,7542,J104318.14+614206.1,2622940,7542,2214
587725473345503309,original,7574,J103403.33+613734.3,2621525,7574,2067
587725473880604842,original,7592,J100333.95+600917.2,2598659,7592,1561
587725473881850032,original,7603,J102400.21+612903.1,.......,7603,1908
587725489989288036,original,7772,J171019.78+564525.4,2546836,7772,9140
587725490523537665,original,7807,J165643.84+622822.9,3137935,7807,9046
587725490525241634,original,7838,J170730.66+584654.9,2582724,7838,9124
587725490527862927,original,7864,J172116.99+531437.7,2435608,7864,9247
587725491063488610,original,7966,J171835.16+560325.2,2523987,7966,9220
587725491064668223,original,7988,J172425.21+533104.3,2443288,7988,9261
587725491596558516,original,8010,J165648.02+642209.0,2667401,8010,9047
587725491597934821,original,8022,J170637.84+612317.5,2617022,8022,9119
587725491598131454,original,8024,NGC 6310,59662,8024,9127
587725503947800589,original,8283,J171400.81+572226.7,2564113,8283,9192
587725504482443413,original,8336,J170333.74+621155.0,.......,8336,9101
587725504484671587,original,8383,GIN 637,2565109,8383,9201
587725505555661030,original,8497,J170628.24+634402.4,2660300,8497,9117
587725505558741201,original,8541,CGCG 277-042,60230,8541,9262
587725505559986436,original,8559,J172933.33+541835.1,2465777,8559,9286
587725550132396132,original,8625,J100853.96+622407.8,2636018,8625,1669
587725550134755386,original,8648,J105240.70+644744.1,3086495,8648,2438
587725550139277379,original,8697,NGC 4513,41527,8697,4325
587725550139277411,original,8698,UGC 07683 NOTES01,.......,8698,4327
587725550659109216,original,8843,J080832.64+463553.0,3087567,8843,276
587725550662713469,original,8932,J083943.73+530049.3,2429575,8932,584
587725550665465990,original,8986,J091007.37+573727.9,3738727,8986,942
587725550677000338,original,9117,J125125.28+663602.3,3140488,9117,4613
587725551190474810,original,9171,J073126.46+355732.3,3721973,9171,27
587725551194341567,original,9216,J075432.23+433830.6,2225603,9216,167
587725551215837190,original,9523,CGCG 316-021,47919,9523,5499
587725551217148067,original,9544,J140240.30+650036.8,2673742,9544,6062
587725551218786448,original,9562,J143345.28+631517.7,2652424,9562,6582
587725551727608006,original,9571,J073125.20+364630.9,2086754,9571,26
587725551728328955,original,9585,J073547.16+381031.1,2119877,9585,32
587725551728525413,original,9587,J073631.85+383058.5,3441140,9587,33
587725552266510613,original,9951,J074109.67+405956.3,3087899,9951,49
587725552272670951,original,10067,J082703.10+524511.4,2422816,10067,450
587725552273326145,original,10079,MCG +09-14-056,23990,10079,545
587725552273850515,original,10089,MCG +09-14-079,24270,10089,577
587725552275226808,original,10105,VII Zw 254,24975,10105,733
587725552275423294,original,10109,MCG +10-13-043,25090,10109,786
587725552275751039,original,10115,J090002.28+575006.7,3736510,10115,842
587725552284467298,original,10207,J113604.61+673711.1,2703039,10207,3265
587725552822911108,original,10522,CGCG 335-006 NED01,.......,10522,4007
587725552828612618,original,10590,J142358.15+651259.7,2675518,10590,6396
587725575888240688,original,10640,UGC 10819,60089,10640,9227
587725575889223928,original,10662,J172354.73+575521.6,2572536,10662,9260
587725576423342475,original,10740,J171251.15+640423.5,59848,10740,9173
587725576423800947,original,10769,J171509.90+630314.6,2648728,10769,9194
587725576425963748,original,10802,J172714.02+582154.9,2577815,10802,9275
587725576962310209,original,10879,CGCG 300-033 NED01,.......,10879,9277
587725576962834606,original,10889,CGCG 300-043,60399,10889,9292
587725576964735302,original,10918,CGCG 278-010 NED02,.......,10918,9301
587725577497608399,original,10949,J172255.83+631140.1,2651330,10949,9253
587725588771700938,original,11072,J170935.30+630922.2,2650637,11072,9139
587725589310144688,original,11131,J172105.01+594917.3,2594618,11131,9246
587725589847146572,original,11243,UGC 10859,60275,11243,9271
587725590385852640,original,11356,J173533.24+554152.0,2511265,11356,9297
587725590922526744,original,11415,J173801.43+561325.7,97545,11415,9302
587725591458283663,original,11465,NGC 6418,60610,11465,9318
587725773459554573,original,11516,KUG 0803+458A,.......,11516,260
587725773460078808,original,11522,J081041.15+463847.5,2284718,11522,287
587725773460734188,original,11527,J081550.17+475710.1,2307570,11527,343
587725774528053451,original,11644,J073014.70+355106.9,3721760,11644,25
587725774534410508,original,11754,MCG +08-15-045,22942,11754,289
587725775607365792,original,11935,J080046.45+471036.5,3131441,11935,199
587725816406671493,original,12005,J095804.13+615250.5,2626392,12005,1491
587725816407785641,original,12016,J101717.31+631259.0,2651768,12016,1784
587725816413814916,original,12079,MCG +11-15-051a,40382,12079,4195
587725816424825057,original,12203,J154059.43+554919.0,2515505,12203,7929
587725816427905057,original,12269,J161209.51+503309.0,2376236,12269,8429
587725816949178575,original,12354,J115005.91+664259.9,2690292,12354,3547
587725816957501492,original,12490,J144501.72+620746.6,.......,12490,6826
587725817479036973,original,12619,J093237.17+604653.4,2606789,12619,1241
587725817482969135,original,12661,J104058.25+652458.0,2677315,12661,2170
587725817485393995,original,12684,J113356.02+670107.3,3086406,12684,3218
587725817488801884,original,12730,J125333.28+670858.3,3140777,12730,4650
587725817501384952,original,12923,J161342.65+512450.6,2393696,12923,8455
587725818035372217,original,13163,J154556.36+564319.9,2545712,13163,8006
587725818035896555,original,13172,J155252.20+555307.6,2517891,13172,8094
587725818554089654,original,13259,J094831.24+631335.3,3138316,13259,1388
587725818567983267,original,13402,J144858.91+632351.3,2654982,13402,6892
587725819093975154,original,13559,J104425.90+664928.4,2691545,13559,2231
587725819098038386,original,13600,J122105.86+683911.8,2721727,13600,4148
587725980151513246,original,13796,J082602.19+504109.7,2379736,13796,442
587725980152627230,original,13820,J083606.48+524308.5,2421941,13820,560
587725980153348241,original,13844,J084341.66+540134.1,2457632,13844,636
587725993035038777,original,14149,J162021.42+491608.9,2338134,14149,8547
587725993574924431,original,14287,CGCG 224-100,58923,14287,8921
587725993577283814,original,14311,UGC 10657,59412,14311,9063
587725994108780659,original,14328,NGC 6154,58095,14328,8654
587725994110222619,original,14361,J163614.43+470832.0,2293089,14361,8810
587725994112122982,original,14390,J165011.06+432526.4,2220419,14390,8975
587725994646503487,original,14446,J163347.19+482510.0,2317068,14446,8771
587725994647814496,original,14467,J164332.10+455057.0,2271387,14467,8891
587725994649256365,original,14489,J165336.72+430522.2,2212753,14489,9030
587726013996073056,original,14552,J120802.85+012915.6,1196449,14552,3873
587726013998104683,original,14583,J122649.59+013424.6,139839,14583,4248
587726013999743069,original,14608,J124131.98+013048.9,1197187,14608,4458
587726014000660614,original,14630,J124950.76+013240.1,1198100,14630,4598
587726014003216406,original,14659,J131305.77+012756.1,1195793,14659,5060
587726014004003071,original,14675,J132047.99+013216.2,1197928,14675,5202
587726014004723937,original,14690,J132722.04+012818.4,1195966,14690,5313
587726014009639028,original,14749,NGC 5501,50724,14749,6206
587726014011736154,original,14790,J143124.56+011403.4,159887,14790,6546
587726014015996127,original,14829,J150958.98+005854.8,1180934,14829,7325
587726014536810527,original,14926,NGC 4643,42797,14926,4480
587726014542184502,original,15008,UGC 08521,47641,15008,5419
587726014546968664,original,15091,VIII Zw 391,50983,15091,6275
587726014551687340,original,15177,J145914.18+012846.8,1196201,15177,7116
587726015072763993,original,15338,J123449.14+022229.5,1224876,15338,4382
587726015073353815,original,15345,VCC 1847,42471,15345,4426
587726015076565217,original,15391,J131003.79+021657.5,1221881,15391,4991
587726015080497320,original,15487,J134554.23+021502.3,1220917,15487,5698
587726015083970830,original,15533,J141738.29+020341.8,1214756,15533,6290
587726015085674726,original,15580,J143311.63+020129.7,135845,15580,6577
587726015087771885,original,15599,CGCG 020-028,53113,15599,6961
587726015089672356,original,15622,UGC 09744,54123,15622,7322
587726015612780676,original,15845,J130338.94+024335.2,135817,15845,4835
587726015612846215,original,15847,J130412.48+024710.8,1237402,15847,4859
587726015613894857,original,15858,J131413.09+024340.4,.......,15858,5078
587726015615533254,original,15873,J132902.51+024141.7,1234907,15873,5344
587726015616450691,original,15884,J133708.06+023947.9,1233957,15884,5529
587726015623266452,original,15979,J143929.67+022436.9,1226063,15979,6739
587726015623659742,original,15983,J144318.78+021456.9,1220850,15983,6811
587726015626936666,original,16025,J151330.01+020615.1,1216077,16025,7418
587726015627002114,original,16030,J151345.35+020908.1,1217635,16030,7428
587726015627722980,original,16043,J152045.38+015914.1,1212362,16043,7600
587726015629885706,original,16095,UGC 09960,55748,16095,7914
587726016148734079,original,16229,J125529.32+031640.4,1248883,16229,4684
587726016154108177,original,16322,J134451.04+030336.5,1244219,16322,5683
587726016154173642,original,16324,J134507.48+030053.7,3122925,16324,5690
587726016156008608,original,16345,J140151.04+030101.9,1243232,16345,6048
587726016158171361,original,16378,J142200.10+025507.7,1240862,16378,6367
587726016159744042,original,16412,VIII Zw 437,52182,16412,6639
587726016165445924,original,16537,J152811.81+023147.8,3092420,16537,7714
587726016682721311,original,16642,NGC 4457,41101,16642,4304
587726031167094918,original,16777,CGCG 010-028,32429,16777,2373
587726031174893673,original,16896,J120039.30+011611.6,1189711,16896,3731
587726031174893685,original,16897,J120040.77+011632.0,1189873,16897,3732
587726031182495979,original,16992,J131016.72+012110.0,.......,16992,4993
587726031691514028,original,17083,J085554.26+005111.0,1177310,17083,781
587726031710322821,original,17395,UGC 06769,36800,17395,3494
587726031712092319,original,17426,J120344.35+015009.5,38118,17426,3777
587726031715565732,original,17492,J123538.87+014913.3,1206876,17492,4392
587726031716548795,original,17515,J124440.25+015055.1,1207890,17515,4500
587726031718252632,original,17538,CGCG 015-052,44671,17538,4752
587726032231399508,original,17783,CGCG 006-037,26589,17783,1095
587726032232317005,original,17801,J093137.74+013413.7,135725,17801,1230
587726032238805187,original,17905,J103112.55+014829.7,1206480,17905,2002
587726032239132800,original,17910,J103402.71+015901.3,1212217,17910,2066
587726032243064940,original,17970,J110957.13+020138.9,1213609,17970,2758
587726032248373343,original,18053,J115811.88+021132.2,1218994,18053,3673
587726032254402575,original,18133,NGC 4772,43798,18133,4647
587726032258334886,original,18166,J132917.48+021001.4,1218117,18166,5350
587726032259645699,original,18188,J134142.49+020743.4,1216858,18188,5653
587726032269213782,original,18350,J150902.16+013303.5,1198334,18350,7309
587726032269607013,original,18362,CGCG 021-049,54296,18362,7390
587726032269607103,original,18365,J151232.73+013346.2,3841992,18365,7383
587726032764534897,original,18390,J084903.13+013218.0,153179,18390,705
587726032766042365,original,18400,J090251.45+014051.9,153402,18400,858
587726032775413935,original,18516,J102844.21+022034.8,1223868,18516,1973
587726032779477122,original,18572,CGCG 038-119,33515,18572,2679
587726032780918915,original,18644,J111844.37+022816.4,1228009,18644,2967
587726032784457865,original,18694,J115109.13+023432.4,1231219,18694,3562
587726032785506461,original,18700,J120054.31+023830.1,1233288,18700,3734
587726032786030620,original,18712,J120520.87+023203.1,1229937,18712,3806
587726032790945957,original,18797,J125050.25+023040.0,1229228,18797,4610
587726032795730103,original,18859,J133426.22+023417.7,1231098,18859,5466
587726032801759343,original,18976,UGC 09292,51752,18976,6489
587726033306517721,original,19137,J093553.34+022430.0,1225982,19137,1263
587726033316544552,original,19291,J110719.94+025315.9,1240068,19291,2721
587726033334632485,original,19625,NGC 5335,49310,19625,5838
587726033341776084,original,19709,CGCG 048-079,53491,19709,7112
587726033846272089,original,19783,IC 0588,29057,19783,1546
587726033846730839,original,19794,J100608.33+025808.7,1242105,19794,1614
587726033853022296,original,19899,CGCG 038-106,33407,19899,2644
587726033853022352,original,19900,J110358.26+031734.9,.......,19900,2653
587726033862000774,original,20071,J122553.02+032420.3,1251585,20071,4233
587726033863966900,original,20118,J124409.36+032706.9,.......,20118,4493
587726033866653767,original,20157,J130833.19+032912.5,1253193,20157,4940
587726033867702440,original,20166,J131825.33+032138.0,1250678,20166,5155
587726033869406266,original,20179,CGCG 045-022,47768,20179,5453
587726033872945366,original,20236,J140551.69+030500.3,1244727,20236,6124
587726100411121701,original,20372,CGCG 047-046,51617,20372,6443
587726100417937444,original,20556,CGCG 049-181,55240,20556,7751
587726100947206190,original,20606,NGC 5566,51233,20606,6340
587726100949106753,original,20648,CGCG 047-120,52285,20648,6678
587726100954808486,original,20762,J152932.69+030311.4,1244066,20762,7748
587726101485453506,original,20866,J143300.24+041758.4,1266309,20866,6574
587726101486698517,original,20890,UGC 09491,52628,20890,6818
587726101487681586,original,20906,NGC 5770,53201,20906,7002
587726102019244038,original,21086,J140430.30+050629.1,1278236,21086,6105
587726102021472389,original,21139,J142503.40+044456.0,1272699,21139,6420
587726102022258883,original,21160,J143228.05+044555.9,1272957,21160,6569
587726102027436314,original,21271,J151955.38+040423.9,1263053,21271,7561
587726102027829271,original,21277,J152314.20+035804.9,3125203,21277,7647
587726102031040554,original,21332,J155235.89+033758.5,1255902,21332,8088
587726102556901521,original,21375,J141155.08+051619.8,1280811,21375,6202
587726102558277829,original,21402,J142447.81+051124.3,.......,21402,6416
587726102561161239,original,21449,KUG 1448+051,53013,21449,6941
587727866186498228,original,21725,J083411.90+461713.2,2278605,21725,551
587727866717864291,original,21768,J075100.60+364302.0,2085645,21768,117
587727867255980404,original,21884,J075719.40+391954.3,.......,21884,179
587727900536995880,original,21953,GALEXASC J082245.71,.......,21953,416
587727901611327993,original,22031,J082823.56+015614.9,1210787,22031,483
587727942422102080,original,22057,CGCG 007-039,28199,22057,1393
587727942952419348,original,22171,UGC 04613,24762,22171,697
587727942959824940,original,22266,NGC 3062,28699,22266,1483
587727943489487008,original,22350,CGCG 005-016,24852,22350,712
587727943490076717,original,22356,J085555.26+012207.0,1192747,22356,782
587727944030617693,original,22558,LSBC F851-14,.......,22558,1184
587727944033370327,original,22607,J095452.86+022122.6,.......,22607,1462
587727944561000568,original,22629,GALEXASC J083001.21,.......,22629,497
587727944563360098,original,22647,J085152.85+021613.0,.......,22647,726
587727944571355316,original,22761,J100504.35+024422.0,1236100,22761,1595
587728307491504320,original,22923,J111212.97+012340.7,182506,22923,2822
587728307494649924,original,22997,CGCG 012-056,36247,22997,3348
587728308024246538,original,23064,J103433.11+013720.4,1200623,23064,2071
587728308026277959,original,23103,J105257.74+015342.2,1209416,23103,2440
587728308030406766,original,23183,J113041.59+015123.0,1208150,23183,3187
587728308560199795,original,23261,J102555.77+020015.4,135746,23261,1931
587728308562362410,original,23292,J104532.61+020820.3,1217158,23292,2251
587728308566622352,original,23371,J112452.43+022431.8,1225996,23371,3066
587728308566753481,original,23378,J112602.29+021802.9,1222486,23378,3094
587728308566950059,original,23383,J112723.34+022105.4,1224184,23383,3119
587728308569047101,original,23410,J114648.48+021603.1,1221390,23410,3475
587728309096743085,original,23441,J102301.39+023523.7,1231701,23441,1875
587728309103427737,original,23593,J112349.36+024204.8,213829,23593,3053
587728309636300808,original,23717,J104710.76+025948.9,1242751,23717,2305
587728309640102024,original,23780,J112207.11+030433.8,1244575,23780,3036
587728309640298521,original,23787,CGCG 039-164,35001,23787,3057
587728309641805995,original,23811,J113800.35+030637.0,1245368,23811,3286
587728669341843556,original,24315,CGCG 207-027,22694,24315,246
587728669345251385,original,24346,J083202.13+461425.7,2277805,24346,516
587728669875372204,original,24371,J074118.53+341347.6,4531266,24371,52
587728669882056941,original,24473,J082950.16+462532.5,2280958,24473,494
587728670414733470,original,24520,MRK 0382,22190,24520,170
587728670415323354,original,24528,J075926.72+401554.0,2163248,24528,185
587728670416568400,original,24546,J080852.37+422812.0,2199519,24546,277
587728677392875709,original,24728,J114929.10+640908.6,2665020,24728,3523
587728677394120769,original,24744,J121533.16+641602.2,2666257,24744,4022
587728677932105752,original,24863,J123831.36+643456.5,2669591,24863,4412
587728678465110127,original,24901,J111618.72+641413.3,3362220,24901,2918
587728679006371969,original,25025,J125028.76+652259.5,2676992,25025,4609
587728679540949087,original,25078,J115937.85+654536.5,2680364,25078,3714
587728679543504957,original,25112,J125636.64+654117.6,.......,25112,4697
587728878734606456,original,25157,CGCG 038-090,33282,25157,2602
587728879265841315,original,25293,CGCG 036-044,29562,25293,1685
587728879793668141,original,25483,CGCG 033-007,24686,25483,664
587728879806251128,original,25675,J104227.61+041449.2,3357789,25675,2206
587728880330342724,original,25773,J084521.17+030500.0,3354323,25773,645
587728880332308694,original,25813,CGCG 033-053,25441,25813,869
587728880337616949,original,25885,CGCG 035-072,28419,25885,1414
587728880344105090,original,25976,CGCG 038-033,32571,25976,2419
587728880870752456,original,26115,J091742.02+035717.6,3355098,26115,1034
587728880874815660,original,26166,J095502.06+043717.2,3356282,26166,1464
587728880881827974,original,26289,J105915.63+051129.6,1279494,26289,2542
587728881416274096,original,26383,J103648.75+053109.1,1284744,26383,2119
587728881418436644,original,26410,CGCG 038-058,32900,26410,2498
587728881418502205,original,26413,UGC 06049,32937,26413,2506
587728905563341162,original,26541,J075440.61+342034.0,2047680,26541,168
587728905564586258,original,26571,J080303.65+363230.0,2082490,26571,209
587728906098180587,original,26608,J074002.74+305258.1,1922101,26608,42
587728906099818612,original,26629,J075021.45+335306.0,2040463,26629,109
587728906638196746,original,26739,J075850.44+364744.2,2087136,26739,184
587728906639442006,original,26770,J080820.31+390125.3,2141849,26770,268
587728918446211268,original,26916,J135734.02+623321.4,2638853,26916,5920
587728918446342291,original,26919,J135926.27+622843.9,2637322,26919,5979
587728919521329328,original,27069,J142503.84+620311.5,2629630,27069,6421
587728920056496138,original,27112,J135421.78+640242.2,3815686,27112,5871
587728920058003652,original,27136,J142338.88+623821.6,2640473,27136,6395
587728920059183208,original,27144,MCG +10-21-026,52533,27144,6801
587728920059838663,original,27147,MCG +10-21-037,53149,27147,6994
587728920062329024,original,27173,J152805.22+570001.8,2554221,27173,7713
587728930270216353,original,27244,J091225.04+484313.0,2324047,27244,964
587728930795815385,original,27297,J074013.21+295453.9,1882922,27297,44
587728930798108892,original,27320,J075503.83+340830.7,2044521,27320,169
587728930799616276,original,27345,J080514.14+364943.1,2087714,27345,247
587728930807808035,original,27444,KUG 0915+501,.......,27444,1051
587728930810495084,original,27490,J095158.01+532805.1,2441916,27490,1413
587728931332292759,original,27499,J073642.49+291818.1,1862128,27499,34
587728931332555118,original,27511,J073753.67+295103.1,1880523,27511,37
587728931334193199,original,27533,J074808.82+324933.7,2013808,27533,95
587728931334455634,original,27537,J074952.15+332608.2,2031999,27537,104
587728931334652243,original,27541,J075128.29+334454.1,2038111,27541,120
587728931877224676,original,27870,J083233.42+435844.6,2233704,27870,525
587728931881746519,original,27948,J091835.25+505654.4,26303,27948,1044
587728932411474038,original,28036,J080931.30+394806.1,2155891,28036,284
587728932420780129,original,28155,J094254.11+540657.7,2460222,28155,1340
587728948511572072,original,28391,J10075180-0016186,1147507,28391,1644
587728948512358642,original,28425,J10153430-0017502,1146864,28425,1766
587728949049884809,original,28583,J102129.26+000918.2,1158487,28583,1845
587728949052244082,original,28617,J104232.58+000114.4,1155051,28617,2209
587729149310861366,original,29011,CGCG 008-073,29801,29011,1745
587729149841440978,original,29093,J09154524-0218082,1095888,29093,1015
587729150383095831,original,29334,CGCG 008-010,28891,29334,1528
587729150383095885,original,29336,J09592781-0207077,1101256,29336,1521
587729150383161562,original,29337,UGC 05380,28946,29337,1536
587729150909677592,original,29391,J08253026-0104598,1127207,29391,439
587729150912823591,original,29425,J08542820-0117095,1122338,29425,748
587729150917345475,original,29477,J09355957-0139385,1113413,29477,1265
587729150918590608,original,29486,J09471552-0134592,1115294,29486,1380
587729150921146519,original,29540,CGCG 008-055,29617,29540,1694
587729151455920274,original,29630,J09512347-0120258,1121024,29630,1411
587729151455985802,original,29631,J09515699-0115318,1123030,29631,1412
587729151455985809,original,29632,J09520297-0112391,1124165,29632,1416
587729151458803909,original,29703,J10175535-0125514,3281604,29703,1789
587729154670657641,original,29854,J114443.40+643459.4,3086545,29854,3411
587729154672558117,original,29868,NGC 4391,40500,29868,4221
587729155206742129,original,29901,J112648.14+644718.1,2671641,29901,3108
587729155745841258,original,29970,J121540.92+653934.3,2679484,29970,4024
587729155746431078,original,29983,J122751.9+654349.,.......,29983,4266
587729156282712149,original,30031,NGC 4221,39266,30031,4033
587729157896667263,original,30162,J133517.51+034838.5,3396406,30162,5494
587729157897977888,original,30192,CGCG 045-099,48871,30192,5740
587729157900927142,original,30226,J141413.19+032812.0,3124248,30226,6248
587729157901582475,original,30234,J142032.03+032755.4,1252773,30234,6341
587729157902630942,original,30251,NGC 5636,51785,30251,6498
587729157903679590,original,30270,CGCG 047-129,52384,30270,6744
587729157908136155,original,30338,J152015.76+023918.2,1233700,30338,7571
587729158432620734,original,30434,J132710.23+041956.4,1266767,30434,5310
587729158434259115,original,30455,J134143.97+040825.4,1264052,30455,5654
587729158439960713,original,30545,CGCG 047-101,52075,30545,6595
587729158441992348,original,30623,CGCG 048-040,53126,30623,6975
587729158443499710,original,30657,J150628.19+031045.2,1246869,30657,7252
587729158963331086,original,30792,J123035.23+045520.1,1275345,30792,4316
587729158971523188,original,30917,J134533.76+043013.2,1269122,30917,5693
587729158977224930,original,30991,J143755.37+035904.0,1261732,30991,6695
587729158978470178,original,31019,J144928.73+034808.3,1258796,31019,6897
587729158980304952,original,31046,CGCG 048-116,53906,31046,7241
587729158981746870,original,31096,J151913.16+032549.2,3124127,31096,7548
587729158983909540,original,31155,J153846.21+030721.1,1245630,31155,7905
587729158984892699,original,31194,J154755.36+030350.2,1244316,31194,8022
587729158986137955,original,31223,J155922.65+024541.0,1236712,31223,8201
587729159500988440,original,31250,NGC 4580,42174,31250,4409
587729159504658684,original,31305,J131137.09+050953.6,1279087,31305,5014
587729159507804247,original,31341,NGC 5261,48360,31341,5601
