ra,dec,smooth-or-featured-gz2_smooth,smooth-or-featured-gz2_featured-or-disk,smooth-or-featured-gz2_artifact,disk-edge-on-gz2_yes,disk-edge-on-gz2_no,bar-gz2_yes,bar-gz2_no,has-spiral-arms-gz2_yes,has-spiral-arms-gz2_no,bulge-size-gz2_no,bulge-size-gz2_just-noticeable,bulge-size-gz2_obvious,bulge-size-gz2_dominant,something-odd-gz2_yes,something-odd-gz2_no,how-rounded-gz2_round,how-rounded-gz2_in-between,how-rounded-gz2_cigar,bulge-shape-gz2_round,bulge-shape-gz2_boxy,bulge-shape-gz2_no-bulge,spiral-winding-gz2_tight,spiral-winding-gz2_medium,spiral-winding-gz2_loose,spiral-arm-count-gz2_1,spiral-arm-count-gz2_2,spiral-arm-count-gz2_3,spiral-arm-count-gz2_4,spiral-arm-count-gz2_more-than-4,spiral-arm-count-gz2_cant-tell,smooth-or-featured-gz2_total-votes,smooth-or-featured-gz2_smooth_fraction,smooth-or-featured-gz2_featured-or-disk_fraction,smooth-or-featured-gz2_artifact_fraction,disk-edge-on-gz2_total-votes,disk-edge-on-gz2_yes_fraction,disk-edge-on-gz2_no_fraction,has-spiral-arms-gz2_total-votes,has-spiral-arms-gz2_yes_fraction,has-spiral-arms-gz2_no_fraction,bar-gz2_total-votes,bar-gz2_yes_fraction,bar-gz2_no_fraction,bulge-size-gz2_total-votes,bulge-size-gz2_dominant_fraction,bulge-size-gz2_obvious_fraction,bulge-size-gz2_just-noticeable_fraction,bulge-size-gz2_no_fraction,something-odd-gz2_total-votes,something-odd-gz2_yes_fraction,something-odd-gz2_no_fraction,how-rounded-gz2_total-votes,how-rounded-gz2_round_fraction,how-rounded-gz2_in-between_fraction,how-rounded-gz2_cigar_fraction,bulge-shape-gz2_total-votes,bulge-shape-gz2_round_fraction,bulge-shape-gz2_boxy_fraction,bulge-shape-gz2_no-bulge_fraction,spiral-winding-gz2_total-votes,spiral-winding-gz2_tight_fraction,spiral-winding-gz2_medium_fraction,spiral-winding-gz2_loose_fraction,spiral-arm-count-gz2_total-votes,spiral-arm-count-gz2_1_fraction,spiral-arm-count-gz2_2_fraction,spiral-arm-count-gz2_3_fraction,spiral-arm-count-gz2_4_fraction,spiral-arm-count-gz2_more-than-4_fraction,spiral-arm-count-gz2_cant-tell_fraction,file_loc,subfolder,iauname,smooth-or-featured-gz2_semantic,disk-edge-on-gz2_semantic,has-spiral-arms-gz2_semantic,bar-gz2_semantic,bulge-size-gz2_semantic,something-odd-gz2_semantic,how-rounded-gz2_semantic,bulge-shape-gz2_semantic,spiral-winding-gz2_semantic,spiral-arm-count-gz2_semantic,summary,leaf_prob,label,filename,id_str,objid,sample,asset_id,name,pgc,img_name,row_txt
200.106750488,30.6029949188,11,32,1,1,31,4,27,19,12,1,17,12,1,25,18,9,2,0,1,0,0,13,4,2,15,2,0,0,0,2,44,0.25,0.7272727272727273,0.022727272727272728,32,0.03125,0.96875,31,0.6129032258064516,0.3870967741935484,31,0.12903225806451613,0.8709677419354839,31,0.03225806451612903,0.3870967741935484,0.5483870967741935,0.03225806451612903,43,0.5813953488372093,0.4186046511627907,11,0.8181818181818182,0.18181818181818182,0.0,1,1.0,0.0,0.0,19,0.6842105263157895,0.21052631578947367,0.10526315789473684,19,0.7894736842105263,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684,data/gz2/images/587739/587739504475635725.jpg,587739,J132025.61+303610.7,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_yes,bar-gz2_no,bulge-size-gz2_just-noticeable,something-odd-gz2_yes,-,-,-,-,unbarred_spiral,0.37609970674486803,4,587739504475635725.jpg,587739504475635725,587739504475635725,original,130031,KUG 1318+308,46542,130031,5201
190.968231201,29.7808494568,1,42,0,2,40,40,0,31,9,1,20,17,2,25,18,0,1,0,2,0,0,17,8,6,0,14,6,2,1,8,43,0.023255813953488372,0.9767441860465116,0.0,42,0.047619047619047616,0.9523809523809523,40,0.775,0.225,40,1.0,0.0,40,0.05,0.425,0.5,0.025,43,0.5813953488372093,0.4186046511627907,1,0.0,1.0,0.0,2,1.0,0.0,0.0,31,0.5483870967741935,0.25806451612903225,0.1935483870967742,31,0.0,0.45161290322580644,0.1935483870967742,0.06451612903225806,0.03225806451612903,0.25806451612903225,data/gz2/images/587741/587741532793208841.jpg,587741,J124352.37+294651.0,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_yes,bar-gz2_yes,bulge-size-gz2_just-noticeable,something-odd-gz2_yes,-,-,spiral-winding-gz2_tight,spiral-arm-count-gz2_2,barred_spiral,0.7209302325581395,5,587741532793208841.jpg,587741532793208841,587741532793208841,original,152595,J124352.38+294650.9,1877919,152595,4489
122.373069763,34.5946769714,13,16,0,0,15,3,13,4,12,0,8,6,2,21,8,11,2,0,0,0,0,4,0,0,2,1,0,0,0,1,29,0.4482758620689655,0.5517241379310345,0.0,15,0.0,1.0,16,0.25,0.75,16,0.1875,0.8125,16,0.125,0.375,0.5,0.0,29,0.7241379310344828,0.27586206896551724,13,0.8461538461538461,0.15384615384615385,0.0,0,,,,4,1.0,0.0,0.0,4,0.5,0.25,0.0,0.0,0.0,0.25,data/gz2/images/587731/587731885734821980.jpg,587731,J080929.53+343540.8,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_just-noticeable,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.33620689655172414,6,587731885734821980.jpg,587731885734821980,587731885734821980,original,47810,J080929.50+343540.3,2051603,47810,282
223.665328979,22.4813652039,4,27,0,2,25,15,10,10,15,0,4,19,2,17,14,1,3,0,2,0,0,5,5,0,0,6,0,0,0,4,31,0.12903225806451613,0.8709677419354839,0.0,27,0.07407407407407407,0.9259259259259259,25,0.4,0.6,25,0.6,0.4,25,0.08,0.76,0.16,0.0,31,0.5483870967741935,0.45161290322580644,4,0.25,0.75,0.0,2,1.0,0.0,0.0,10,0.5,0.5,0.0,10,0.0,0.6,0.0,0.0,0.0,0.4,data/gz2/images/587739/587739811027812575.jpg,587739,J145439.67+222852.9,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_yes,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,,1.0,-1,587739811027812575.jpg,587739811027812575,587739811027812575,original,141015,J145439.66+222853.0,3836340,141015,7032
171.942810059,26.9595851898,4,34,0,1,33,10,23,8,25,0,3,23,7,30,8,0,4,0,1,0,0,6,2,0,0,3,0,0,0,5,38,0.10526315789473684,0.8947368421052632,0.0,34,0.029411764705882353,0.9705882352941176,33,0.24242424242424243,0.7575757575757576,33,0.30303030303030304,0.696969696969697,33,0.21212121212121213,0.696969696969697,0.09090909090909091,0.0,38,0.7894736842105263,0.21052631578947367,4,0.0,1.0,0.0,1,1.0,0.0,0.0,8,0.75,0.25,0.0,8,0.0,0.375,0.0,0.0,0.0,0.625,data/gz2/images/587741/587741602027012125.jpg,587741,J112745.89+265736.0,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.4585326953748007,6,587741602027012125.jpg,587741602027012125,587741602027012125,original,154739,CGCG 156-077,35270,154739,3123
193.369476318,-2.12522220612,12,33,0,1,32,2,30,13,19,0,15,16,1,28,16,9,2,0,1,0,0,7,4,2,1,5,0,0,0,7,45,0.26666666666666666,0.7333333333333333,0.0,33,0.030303030303030304,0.9696969696969697,32,0.40625,0.59375,32,0.0625,0.9375,32,0.03125,0.5,0.46875,0.0,44,0.6363636363636364,0.36363636363636365,11,0.8181818181818182,0.18181818181818182,0.0,1,1.0,0.0,0.0,13,0.5384615384615384,0.3076923076923077,0.15384615384615385,13,0.07692307692307693,0.38461538461538464,0.0,0.0,0.0,0.5384615384615384,data/gz2/images/587724/587724649799745707.jpg,587724,J125328.67-020730.7,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.39583333333333326,6,587724649799745707.jpg,587724649799745707,587724649799745707,original,3122,J125328.67-020730.7,1101060,3122,4646
247.022766113,24.8416137695,13,33,0,0,33,3,30,10,23,0,5,19,9,35,11,3,10,0,0,0,0,7,2,1,1,5,3,0,0,1,46,0.2826086956521739,0.717391304347826,0.0,33,0.0,1.0,33,0.30303030303030304,0.696969696969697,33,0.09090909090909091,0.9090909090909091,33,0.2727272727272727,0.5757575757575758,0.15151515151515152,0.0,46,0.7608695652173914,0.2391304347826087,13,0.23076923076923078,0.7692307692307693,0.0,0,,,,10,0.7,0.2,0.1,10,0.1,0.5,0.3,0.0,0.0,0.1,data/gz2/images/587736/587736898503377189.jpg,587736,J162805.46+245029.7,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.45454545454545453,6,587736898503377189.jpg,587736898503377189,587736898503377189,original,99594,J162805.43+245029.2,1717899,99594,8702
166.246185303,12.305632591199998,11,33,1,3,30,1,29,2,28,0,1,20,9,39,5,2,9,0,3,0,0,0,2,0,0,2,0,0,0,0,45,0.24444444444444444,0.7333333333333333,0.022222222222222223,33,0.09090909090909091,0.9090909090909091,30,0.06666666666666667,0.9333333333333333,30,0.03333333333333333,0.9666666666666667,30,0.3,0.6666666666666666,0.03333333333333333,0.0,44,0.8863636363636364,0.11363636363636363,11,0.18181818181818182,0.8181818181818182,0.0,3,1.0,0.0,0.0,2,0.0,1.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,data/gz2/images/588017/588017567092375730.jpg,588017,J110459.08+121820.3,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.6014814814814815,6,588017567092375730.jpg,588017567092375730,588017567092375730,original,209975,J110459.08+121820.9,1407200,209975,2658
168.36155700700002,30.6075515747,1,36,1,0,35,30,6,25,11,0,14,21,1,32,5,1,0,0,0,0,0,11,11,3,0,18,2,1,0,4,38,0.02631578947368421,0.9473684210526315,0.02631578947368421,35,0.0,1.0,36,0.6944444444444444,0.3055555555555556,36,0.8333333333333334,0.16666666666666666,36,0.027777777777777776,0.5833333333333334,0.3888888888888889,0.0,37,0.8648648648648649,0.13513513513513514,1,1.0,0.0,0.0,0,,,,25,0.44,0.44,0.12,25,0.0,0.72,0.08,0.04,0.0,0.16,data/gz2/images/587739/587739608084316193.jpg,587739,J111326.77+303627.2,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_yes,bar-gz2_yes,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,deadlock,spiral-arm-count-gz2_2,barred_spiral,0.5482456140350876,5,587739608084316193.jpg,587739608084316193,587739608084316193,original,131471,CGCG 156-027,34169,131471,2869
176.049957275,23.1097564697,14,28,0,0,28,0,28,0,28,0,5,16,7,41,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0.3333333333333333,0.6666666666666666,0.0,28,0.0,1.0,28,0.0,1.0,28,0.0,1.0,28,0.25,0.5714285714285714,0.17857142857142858,0.0,42,0.9761904761904762,0.023809523809523808,14,0.7142857142857143,0.2857142857142857,0.0,0,,,,0,,,,0,,,,,,,data/gz2/images/587742/587742062680014916.jpg,587742,J114411.98+230635.1,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.6666666666666666,6,587742062680014916.jpg,587742062680014916,587742062680014916,original,169284,J114411.98+230635.3,3089677,169284,3396
252.806335449,32.0443649292,23,24,0,0,24,15,9,6,18,0,7,16,1,26,21,21,2,0,0,0,0,4,2,0,0,2,0,0,0,4,47,0.48936170212765956,0.5106382978723404,0.0,24,0.0,1.0,24,0.25,0.75,24,0.625,0.375,24,0.041666666666666664,0.6666666666666666,0.2916666666666667,0.0,47,0.5531914893617021,0.44680851063829785,23,0.9130434782608695,0.08695652173913043,0.0,0,,,,6,0.6666666666666666,0.3333333333333333,0.0,6,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,data/gz2/images/587733/587733608020508953.jpg,587733,J165113.52+320239.8,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_yes,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,,1.0,-1,587733608020508953.jpg,587733608020508953,587733608020508953,original,71659,J165113.51+320239.7,3502203,71659,8982
168.604690552,8.31514835358,8,19,8,1,18,2,16,6,12,0,3,10,5,18,9,1,7,0,1,0,0,1,4,1,0,6,0,0,0,0,35,0.22857142857142856,0.5428571428571428,0.22857142857142856,19,0.05263157894736842,0.9473684210526315,18,0.3333333333333333,0.6666666666666666,18,0.1111111111111111,0.8888888888888888,18,0.2777777777777778,0.5555555555555556,0.16666666666666666,0.0,27,0.6666666666666666,0.3333333333333333,8,0.125,0.875,0.0,1,1.0,0.0,0.0,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,6,0.0,1.0,0.0,0.0,0.0,0.0,data/gz2/images/587732/587732703943327754.jpg,587732,,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.3047619047619047,6,587732703943327754.jpg,587732703943327754,587732703943327754,original,60962,J111425.12+081854.5,.......,60962,2886
130.645736694,42.0447158813,13,29,4,0,29,0,29,3,26,0,0,18,11,36,6,6,7,0,0,0,0,1,2,0,0,0,0,0,0,3,46,0.2826086956521739,0.6304347826086957,0.08695652173913043,29,0.0,1.0,29,0.10344827586206896,0.896551724137931,29,0.0,1.0,29,0.3793103448275862,0.6206896551724138,0.0,0.0,42,0.8571428571428571,0.14285714285714285,13,0.46153846153846156,0.5384615384615384,0.0,0,,,,3,0.3333333333333333,0.6666666666666666,0.0,3,0.0,0.0,0.0,0.0,0.0,1.0,data/gz2/images/587731/587731886276018325.jpg,587731,J084234.97+420240.9,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.5652173913043479,6,587731886276018325.jpg,587731886276018325,587731886276018325,original,48083,J084234.96+420240.7,2191393,48083,626
